Year,Rank,Release Group, Worldwide , Domestic ,Domestic %, Foreign ,Foreign %, Origin , Worldwide Adjusted , Domestic Adjusted , Foreign Adjusted 
2000,1,Mission: Impossible II," $546,388,108 "," $215,409,889 ",39.40%," $330,978,219 ",60.60%,USA," $969,838,892 "," $382,352,553 "," $587,486,339 "
2000,2,Gladiator," $460,583,960 "," $187,705,427 ",40.80%," $272,878,533 ",59.20%,USA," $817,536,529 "," $333,177,133 "," $484,359,396 "
2000,3,Cast Away," $429,632,142 "," $233,632,142 ",54.40%," $196,000,000 ",45.60%,USA," $762,597,052 "," $414,697,052 "," $347,900,000 "
2000,4,What Women Want," $374,111,707 "," $182,811,707 ",48.90%," $191,300,000 ",51.10%,USA," $664,048,280 "," $324,490,780 "," $339,557,500 "
2000,5,Dinosaur," $349,822,765 "," $137,748,063 ",39.40%," $212,074,702 ",60.60%,USA," $620,935,408 "," $244,502,812 "," $376,432,596 "
2000,6,How the Grinch Stole Christmas," $345,141,403 "," $260,044,825 ",75.30%," $85,096,578 ",24.70%,USA," $612,625,990 "," $461,579,564 "," $151,046,426 "
2000,7,Meet the Parents," $330,444,045 "," $166,244,045 ",50.30%," $164,200,000 ",49.70%,USA," $586,538,180 "," $295,083,180 "," $291,455,000 "
2000,8,The Perfect Storm," $328,718,434 "," $182,618,434 ",55.60%," $146,100,000 ",44.40%,USA," $583,475,220 "," $324,147,720 "," $259,327,500 "
2000,9,X-Men," $296,339,528 "," $157,299,718 ",53.10%," $139,039,810 ",46.90%,USA," $526,002,662 "," $279,206,999 "," $246,795,663 "
2000,10,What Lies Beneath," $291,420,351 "," $155,464,351 ",53.30%," $135,956,000 ",46.70%,USA," $517,271,123 "," $275,949,223 "," $241,321,900 "
2000,11,Scary Movie," $278,019,771 "," $157,019,771 ",56.50%," $121,000,000 ",43.50%,USA," $493,485,094 "," $278,710,094 "," $214,775,000 "
2000,12,Charlie's Angels," $264,105,545 "," $125,305,545 ",47.40%," $138,800,000 ",52.60%,USA," $468,787,342 "," $222,417,342 "," $246,370,000 "
2000,13,Erin Brockovich," $256,271,286 "," $125,595,205 ",49%," $130,676,081 ",51%,USA," $454,881,533 "," $222,931,489 "," $231,950,044 "
2000,14,Unbreakable," $248,118,121 "," $95,011,339 ",38.30%," $153,106,782 ",61.70%,USA," $440,409,665 "," $168,645,127 "," $271,764,538 "
2000,15,Gone in 60 Seconds," $237,202,299 "," $101,648,571 ",42.90%," $135,553,728 ",57.10%,USA," $421,034,081 "," $180,426,214 "," $240,607,867 "
2000,16,Chicken Run," $224,834,564 "," $106,834,564 ",47.50%," $118,000,000 ",52.50%,USA," $399,081,351 "," $189,631,351 "," $209,450,000 "
2000,17,Vertical Limit," $215,663,859 "," $69,243,859 ",32.10%," $146,420,000 ",67.90%,USA," $382,803,350 "," $122,907,850 "," $259,895,500 "
2000,18,The Patriot," $215,294,342 "," $113,330,342 ",52.60%," $101,964,000 ",47.40%,USA," $382,147,457 "," $201,161,357 "," $180,986,100 "
2000,19,"Crouching Tiger, Hidden Dragon"," $213,525,736 "," $128,078,872 ",60%," $85,446,864 ",40%,USA," $379,008,181 "," $227,339,998 "," $151,668,184 "
2000,20,Miss Congeniality," $212,742,720 "," $106,807,667 ",50.20%," $105,935,053 ",49.80%,USA," $377,618,328 "," $189,583,609 "," $188,034,719 "
2000,21,Traffic," $207,515,725 "," $124,115,725 ",59.80%," $83,400,000 ",40.20%,USA," $368,340,412 "," $220,305,412 "," $148,035,000 "
2000,22,Hollow Man," $190,213,455 "," $73,209,340 ",38.50%," $117,004,115 ",61.50%,USA," $337,628,883 "," $129,946,579 "," $207,682,304 "
2000,23,102 Dalmatians," $183,611,771 "," $66,957,026 ",36.50%," $116,654,745 ",63.50%,USA," $325,910,894 "," $118,848,721 "," $207,062,172 "
2000,24,Big Momma's House," $173,959,438 "," $117,559,438 ",67.60%," $56,400,000 ",32.40%,USA," $308,778,002 "," $208,668,002 "," $100,110,000 "
2000,25,The Emperor's New Groove," $169,327,687 "," $89,302,687 ",52.70%," $80,025,000 ",47.30%,USA," $300,556,644 "," $158,512,269 "," $142,044,375 "
2000,26,Nutty Professor II: The Klumps," $166,339,890 "," $123,309,890 ",74.10%," $43,030,000 ",25.90%,USA," $295,253,305 "," $218,875,055 "," $76,378,250 "
2000,27,Scream 3," $161,834,276 "," $89,143,175 ",55.10%," $72,691,101 ",44.90%,USA," $287,255,840 "," $158,229,136 "," $129,026,704 "
2000,28,Chocolat," $152,699,946 "," $71,509,363 ",46.80%," $81,190,583 ",53.20%,USA," $271,042,404 "," $126,929,119 "," $144,113,285 "
2000,29,"Me, Myself & Irene"," $149,270,999 "," $90,570,999 ",60.70%," $58,700,000 ",39.30%,USA," $264,956,023 "," $160,763,523 "," $104,192,500 "
